method,runs,successes,success_rate,mean_normalized_savings_all_runs,mean_wall_seconds,mean_cpu_seconds,mean_first_correct_capped,mean_cnot_successful_only,strict_improvement_runs,strict_improvements_total,mean_attempted_edges,mean_lookahead_transitions,mean_selection_seconds,maximum_scored_panel
hierarchy,375,278,0.7413333333333333,0.24376190476190476,0.21522580924799878,0.21519823984533307,0.11270806101866826,6.276978417266187,150,212,1210.6373333333333,1356.6586666666667,0.1838883466827653,32
untrained,375,375,1.0,0.3071904761904762,0.19463393357066797,0.19460594647466764,0.017404203584002367,7.12,105,120,1162.1893333333333,1595.5493333333334,0.1723737277465983,32
greedy,375,345,0.92,0.2561904761904762,0.19681535448799817,0.19678696135200002,0.04595614382666463,7.043478260869565,105,120,1188.9786666666666,1500.5973333333334,0.1704295171651535,0
outer,375,312,0.832,0.26886984126984126,0.21365055307467143,0.21362404270400095,0.10629582368800189,6.628205128205129,150,211,1275.088,1470.0533333333333,0.18100194833853797,32
inner,375,345,0.92,0.24819047619047618,0.20198827252000107,0.20195081814933405,0.06210267912266439,7.130434782608695,120,135,1136.2906666666668,1364.3466666666666,0.17506328858926098,0
uniform_cost,375,15,0.04,0.0,0.028231694055998558,0.02822885270400014,0.2405708390960005,4.0,0,0,2020.12,2020.12,0.0,0
audit_only,375,15,0.04,0.0,0.02656658425066477,0.026563361538666973,0.2406929907946666,4.0,0,0,2034.28,2034.28,0.0,0
