num_qubits,max_depth,enumerated_prefixes,dense_projective_classes,legacy_unique_keys,strong_unique_keys,legacy_duplicate_excess,strong_duplicate_excess,duplicate_excess_reduction_fraction,legacy_pareto_survivors,strong_pareto_survivors,strong_key_safety_violations,legacy_key_seconds_median,strong_key_seconds_median,key_time_ratio
1,5,3906,155,412,281,257,126,0.5097276264591439,412,281,0,0.0028450790000533743,0.010836283999992702,3.8087814081048053
2,3,1885,545,649,597,104,52,0.5,653,601,0,0.0015237659999911557,0.006677485000068373,4.382224698613259
